卫视频道,#genre#
湖南卫视,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226307/index.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://39.135.133.169:80/wh7f454c46tw4294086678_-785264939/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225610/.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226307/.m3u8#http://39.134.65.3:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225977/1.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225506/1.m3u8#http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225977/main.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226430/.m3u8#http://39.134.65.106/PLTV/88888888/224/3221226000/1.m3u8#http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226307/index.m3u8#http://39.135.133.177:80/TVOD/88888888/224/3221225506/main.m3u8#http://148.135.93.213/live.php?id=湖南卫视#http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225514/1.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226339/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225959/1.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225982/1.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225959/1.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225959/main.m3u8#http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226339/index.m3u8#http://39.135.133.175:80/wh7f454c46tw4062083811_-592865391/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225612/.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226339/.m3u8#http://148.135.93.213:81/live.php?id=浙江卫视#http://148.135.93.213/live.php?id=浙江卫视
江苏卫视,http://39.134.65.106/PLTV/88888888/224/3221225929/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225613/.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226310/.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225938/main.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226495/.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225938/1.m3u8#http://39.134.65.177/PLTV/88888888/224/3221225938/1.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226310/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225503/1.m3u8#http://39.135.133.158:80/wh7f454c46tw3852157421_-1936825694/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226310/index.m3u8#http://39.135.133.181/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://148.135.93.213/live.php?id=江苏卫视#http://148.135.93.213:81/live.php?id=江苏卫视
东方卫视,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8#http://39.135.133.162:80/wh7f454c46tw3427284819_-1570744219/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225960/1.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225738/.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225942/main.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225735/.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225672/1.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225673/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226336/.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225942/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226345/.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225942/1.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8#http://148.135.93.213/live.php?id=东方卫视#http://148.135.93.213:81/live.php?id=东方卫视
深圳卫视,http://39.135.133.157:80/TVOD/88888888/224/3221225668/main.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226313/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225739/.m3u8#http://39.135.135.44/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.133.174:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226313/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225943/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226313/.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225997/1.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225943/main.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://39.135.133.174:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226510/.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8#http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.133.163:80/wh7f454c46tw4181252291_-796517812/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225668/1.m3u8#http://148.135.93.213:81/live.php?id=深圳卫视#http://148.135.93.213/live.php?id=深圳卫视
北京卫视,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226251/.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.135.135.11/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225931/main.m3u8#http://39.135.133.174:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226450/.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225678/1.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225927/1.m3u8#http://39.135.133.175:80/wh7f454c46tw3479399297_-210209349/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225728/.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225931/1.m3u8#http://39.135.133.174:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8#http://39.135.133.174:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8#http://148.135.93.213/live.php?id=北京卫视#http://148.135.93.213:81/live.php?id=北京卫视
广东卫视,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225966/1.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.135.133.177:80/wh7f454c46tw1795581319_1194261384/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8?#http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8#http://39.135.133.155:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8#http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225962/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226374/.m3u8#http://39.135.133.160:80/wh7f454c46tw3800931279_89199010/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.134.67.134/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226248/.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.135.133.177:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8#http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://148.135.93.213/live.php?id=广东卫视#http://148.135.93.213:81/live.php?id=广东卫视
广西卫视,http://39.134.65.106/PLTV/88888888/224/3221226024/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226380/.m3u8#http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8#http://39.135.133.160:80/wh7f454c46tw4256014869_-73654594/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8#http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221226091/1.m3u8#http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8#http://39.135.133.154:80/TVOD/88888888/224/3221226091/main.m3u8#http://39.134.65.141/PLTV/88888888/224/3221226024/1.m3u8#http://39.135.133.155:80/TVOD/88888888/224/3221226091/main.m3u8#http://148.135.93.213/live.php?id=广西卫视#http://148.135.93.213:81/live.php?id=广西卫视
东南卫视,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226341/index.m3u8#http://39.135.133.167:80/TVOD/88888888/224/3221225950/main.m3u8#http://39.135.133.163:80/wh7f454c46tw3373078022_575358625/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225500/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226377/.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225950/1.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8#http://39.135.133.167:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225620/.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226341/.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8#http://39.134.65.77/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225950/1.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226341/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221226038/1.m3u8#http://148.135.93.213/live.php?id=东南卫视#http://148.135.93.213:81/live.php?id=东南卫视
海南卫视,http://39.134.65.106/PLTV/88888888/224/3221225978/1.m3u8#http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8#http://39.134.65.106/PLTV/88888888/224/3221226026/1.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226465/.m3u8#http://39.135.133.154:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226445/.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226465/index.m3u8#http://39.134.65.75/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226465/index.m3u8#http://39.134.65.106/PLTV/88888888/224/3221225530/1.m3u8#http://39.135.133.155:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.135.133.142:80/wh7f454c46tw4127400095_-1150535608/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://148.135.93.213:81/live.php?id=海南卫视#http://148.135.93.213/live.php?id=海南卫视
